"title","username","totalscore"
End usually capital ability know reveal resource might future majority.,lisajacobs,9
My thousand clear hit determine side.,klinestephanie,9
Republican here Republican remain kitchen.,roberto14,8
Politics society along week face like interesting mouth me minute.,martineztraci,8
Tv white high game.,eperez,8
Set decide image democratic financial above.,vincentjoseph,8
Space meeting game give training hot.,wellsrose,8
What side item among memory main continue maintain challenge allow.,njohnson,8
Follow sure walk area toward skill ten month health yard.,robertsarthur,8
Conference follow wind mind weight dream cell.,tgoodwin,7
